Timestamp,Open,High,Low,Close,Volume
2024-03-22 12:05:00,565.34,566.73,565.34,566.59,13.965
2024-03-22 12:06:00,566.59,566.59,566.59,566.59,0.0
2024-03-22 12:07:00,568.34,568.34,568.34,568.34,0.032
2024-03-22 12:08:00,569.18,569.23,569.18,569.23,4.032
2024-03-22 12:09:00,569.4,569.81,569.4,569.81,1.669
2024-03-22 12:10:00,568.81,568.84,568.78,568.78,28.877
2024-03-22 12:11:00,568.74,568.74,567.65,567.65,2.221
2024-03-22 12:12:00,568.14,568.14,568.14,568.14,1.754
2024-03-22 12:13:00,567.12,567.12,566.09,566.26,5.078
2024-03-22 12:14:00,566.32,567.21,566.32,567.21,3.609
2024-03-22 12:15:00,566.73,566.8,566.43,566.43,42.736
2024-03-22 12:16:00,566.46,567.35,566.46,567.35,2.821
2024-03-22 12:17:00,567.91,568.56,567.57,568.56,42.433
2024-03-22 12:18:00,568.56,568.56,568.56,568.56,0.071
2024-03-22 12:19:00,569.23,569.23,569.23,569.23,7.923
2024-03-22 12:20:00,568.6,568.6,568.6,568.6,0.031
2024-03-22 12:21:00,569.43,569.43,569.43,569.43,14.208
2024-03-22 12:22:00,569.38,569.38,568.97,568.97,41.874
2024-03-22 12:23:00,568.87,568.99,568.87,568.99,1.101
2024-03-22 12:24:00,568.31,568.31,568.3,568.3,8.511
2024-03-22 12:25:00,567.62,567.62,567.62,567.62,1.409
2024-03-22 12:26:00,567.68,568.21,567.58,567.58,0.164
2024-03-22 12:27:00,567.41,567.41,565.45,565.49,4.521
2024-03-22 12:28:00,565.49,565.49,565.49,565.49,0.0
2024-03-22 12:29:00,566.0,566.0,565.76,565.76,0.08
2024-03-22 12:30:00,566.22,566.22,564.95,564.95,4.093
2024-03-22 12:31:00,563.85,564.98,563.85,564.59,36.138
2024-03-22 12:32:00,565.17,565.26,565.17,565.26,0.097
2024-03-22 12:33:00,564.16,564.16,564.12,564.12,33.692
2024-03-22 12:34:00,563.68,563.68,563.68,563.68,32.108
2024-03-22 12:35:00,563.68,563.68,563.68,563.68,0.0
2024-03-22 12:36:00,563.53,563.53,563.28,563.49,4.99
2024-03-22 12:37:00,563.69,563.69,563.69,563.69,0.133
2024-03-22 12:38:00,564.31,564.31,564.31,564.31,36.129
2024-03-22 12:39:00,564.06,564.07,563.5,563.5,9.691
2024-03-22 12:40:00,563.34,563.34,562.03,563.12,53.282
2024-03-22 12:41:00,563.56,563.56,563.56,563.56,1.961
2024-03-22 12:42:00,565.19,565.33,565.19,565.33,0.059
2024-03-22 12:43:00,565.44,565.54,565.44,565.54,39.553
2024-03-22 12:44:00,565.53,565.53,565.53,565.53,3.386
2024-03-22 12:45:00,564.85,564.85,564.85,564.85,1.506
2024-03-22 12:46:00,564.94,565.15,564.75,564.75,26.722
2024-03-22 12:47:00,564.79,564.79,564.79,564.79,1.812
2024-03-22 12:48:00,563.74,563.77,563.74,563.77,1.506
2024-03-22 12:49:00,563.54,564.01,563.52,564.01,71.39
2024-03-22 12:50:00,564.01,564.01,564.01,564.01,0.0
2024-03-22 12:51:00,562.55,562.55,562.17,562.17,1.595
2024-03-22 12:52:00,562.28,562.28,562.28,562.28,1.775
2024-03-22 12:53:00,562.29,562.72,561.51,561.51,4.968
2024-03-22 12:54:00,561.84,561.84,561.78,561.78,48.778
2024-03-22 12:55:00,561.66,561.66,560.78,560.82,16.098
2024-03-22 12:56:00,560.86,560.88,560.76,560.76,57.774
2024-03-22 12:57:00,561.8,561.8,561.8,561.8,0.03
2024-03-22 12:58:00,561.71,562.36,561.71,562.36,0.301
2024-03-22 12:59:00,562.08,562.35,562.06,562.06,1.311
2024-03-22 13:00:00,563.79,563.79,563.51,563.51,0.061
